"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2023","1,996.30","1,983.35","2,009.75","1,967.45","199.37K","0.58%"
"11/12/2023","1,984.70","1,942.95","1,996.40","1,935.75","133.12K","2.43%"
"11/05/2023","1,937.70","1,999.40","2,000.10","1,936.90","768.66K","-3.08%"
"10/29/2023","1,999.20","2,013.50","2,017.70","1,978.20","752.39K","0.04%"
"10/22/2023","1,998.50","1,987.70","2,019.70","1,964.60","867.94K","0.21%"
"10/15/2023","1,994.40","1,941.30","2,009.20","1,921.20","882.75K","2.72%"
"10/08/2023","1,941.50","1,861.00","1,946.20","1,857.50","678.58K","5.22%"
"10/01/2023","1,845.20","1,864.40","1,864.70","1,823.50","786.44K","-2.13%"
"09/24/2023","1,885.40","1,944.70","1,946.80","1,881.50","620.41K","-3.09%"
"09/17/2023","1,945.60","1,945.70","1,968.90","1,933.10","716.02K","-0.03%"
"09/10/2023","1,946.20","1,943.30","1,954.60","1,921.70","655.82K","0.18%"
"09/03/2023","1,942.70","1,966.70","1,972.60","1,940.00","458.73K","0.32%"
"08/27/2023","1,936.50","1,915.50","1,921.50","1,915.50","0.13K","1.33%"
"08/20/2023","1,911.10","1,893.60","1,920.80","1,892.80","1.81K","-0.28%"
"08/13/2023","1,916.50","1,945.60","1,948.20","1,914.20","683.81K","0.19%"
"08/06/2023","1,912.90","1,941.00","1,941.00","1,911.40","1.56K","-1.38%"
"07/30/2023","1,939.60","1,959.20","1,971.60","1,920.00","3.14K","-1.06%"
"07/23/2023","1,960.40","1,963.60","1,982.60","1,941.70","788.42K","-0.32%"
"07/16/2023","1,966.60","1,958.60","1,989.80","1,949.00","779.25K","0.11%"
"07/09/2023","1,964.40","1,930.70","1,968.50","1,918.00","909.54K","1.65%"
"07/02/2023","1,932.50","1,927.80","1,942.90","1,908.50","630.40K","0.16%"
"06/25/2023","1,929.40","1,936.30","1,943.40","1,900.60","695.95K","-0.01%"
"06/18/2023","1,929.60","1,970.70","1,971.80","1,919.50","603.94K","-2.11%"
"06/11/2023","1,971.20","1,975.60","1,985.90","1,936.10","787.00K","-0.30%"
"06/04/2023","1,977.20","1,962.30","1,987.80","1,953.80","697.35K","0.39%"
"05/28/2023","1,969.60","1,961.30","2,000.70","1,949.60","858.73K","0.33%"
"05/21/2023","1,963.10","1,998.40","2,006.20","1,954.70","433.81K","-1.86%"
"05/14/2023","2,000.30","2,033.00","2,046.50","1,973.00","167.19K","-0.97%"
"05/07/2023","2,019.80","2,024.60","2,056.00","2,005.70","939.70K","-0.25%"
"04/30/2023","2,024.80","2,000.20","2,085.40","1,985.70","959.33K","1.97%"
"04/23/2023","1,985.70","1,981.30","1,999.10","1,977.40","0.87K","0.31%"
"04/16/2023","1,979.50","2,002.70","2,007.60","1,969.80","0.85K","-1.13%"
"04/09/2023","2,002.20","2,000.00","2,048.60","1,984.00","1.94K","-0.48%"
"04/02/2023","2,011.90","1,968.10","2,033.80","1,950.00","2.56K","2.18%"
"03/26/2023","1,969.00","1,982.60","1,986.80","1,945.00","488.89K","-0.75%"
"03/19/2023","1,983.80","1,989.70","2,014.90","1,936.50","1.09M","0.52%"
"03/12/2023","1,973.50","1,877.10","1,993.70","1,875.70","1.35M","5.69%"
"03/05/2023","1,867.20","1,861.00","1,874.30","1,813.40","821.22K","0.68%"
"02/26/2023","1,854.60","1,818.00","1,864.40","1,810.80","796.23K","2.06%"
"02/19/2023","1,817.10","1,850.50","1,856.40","1,815.50","531.64K","-1.27%"
"02/12/2023","1,840.40","1,859.00","1,862.00","1,818.40","1.82K","-1.20%"
